indicator,asap1_id,adm1_name,early_frac_below,late_frac_below,early_period,late_period,trend_slope_per_decade,trend_tau,trend_p_value,change_frac_below
fpar_crop,0,National (mean of units),0.2315031474955574,0.12142733652600826,2001-2005,2022-2026,-0.044974583186158136,-0.35384615384615387,0.010949975204061223,-0.11007581096954913
fpar_crop,558,Jonglei,0.3885630498533724,0.06537634408602151,2001-2005,2022-2026,-0.11884550084889643,-0.46116908295865094,0.0013480685144749934,-0.3231867057673509
fpar_crop,599,El Buheyrat,0.08961038961038961,0.28809523809523807,2001-2005,2022-2026,0.054945054945054944,0.18574865841390106,0.1965133280256931,0.19848484848484846
fpar_crop,622,Unity,0.14484848484848484,0.3676190476190476,2001-2005,2022-2026,0.04545454545454547,0.17001944530807636,0.2370238296856645,0.22277056277056279
fpar_crop,623,C. Equatoria,0.11764705882352941,0.0915032679738562,2001-2005,2022-2026,-0.02100840336134454,-0.12293293513569897,0.3967449175978066,-0.026143790849673207
fpar_crop,1721,East Equatoria,0.20555555555555555,0.021111111111111112,2001-2005,2022-2026,-0.07936507936507936,-0.3175834921792369,0.027524738529691544,-0.18444444444444444
fpar_crop,1726,North Bahr Ghaza,0.2645161290322581,0.025806451612903226,2001-2005,2022-2026,-0.09216589861751152,-0.32415488123365743,0.0261032456535216,-0.23870967741935484
fpar_crop,1727,Warab,0.19411764705882356,0.07647058823529411,2001-2005,2022-2026,-0.04901960784313725,-0.22436799951637176,0.12301420551575479,-0.11764705882352945
fpar_crop,1728,West Bahr Ghazal,0.2707792207792208,0.12142857142857141,2001-2005,2022-2026,-0.05102040816326531,-0.23656329977785065,0.10263870583215623,-0.14935064935064937
fpar_crop,1729,W.Equatoria,0.31212121212121213,0.0909090909090909,2001-2005,2022-2026,-0.09569377990430622,-0.38731272671062317,0.00826825612852504,-0.22121212121212125
fpar_crop,2242,Upper Nile,0.32727272727272727,0.0659536541889483,2001-2005,2022-2026,-0.06060606060606061,-0.23135702116899773,0.10880943004054569,-0.261319073083779
rain_crop,0,National (mean of units),0.14973085969480654,0.11658086695088594,2001-2005,2022-2026,-0.018972439904603088,-0.18153846153846157,0.20324965345831253,-0.033149992743920595
rain_crop,558,Jonglei,0.14838709677419354,0.1109677419354839,2001-2005,2022-2026,-0.02304147465437788,-0.15528370753983026,0.28393198234882444,-0.037419354838709645
rain_crop,599,El Buheyrat,0.2,0.15952380952380954,2001-2005,2022-2026,-0.03968253968253968,-0.18990312283687194,0.18923649913898022,-0.04047619047619047
rain_crop,622,Unity,0.15333333333333335,0.07333333333333333,2001-2005,2022-2026,-0.04999999999999999,-0.3712909237612419,0.011081200831098705,-0.08000000000000002
rain_crop,623,C. Equatoria,0.11176470588235295,0.20261437908496732,2001-2005,2022-2026,-0.0,0.08073973509982288,0.5771322827817319,0.09084967320261438
rain_crop,1721,East Equatoria,0.08888888888888888,0.10222222222222221,2001-2005,2022-2026,-0.0,0.06924435854667807,0.6375637038804776,0.013333333333333336
rain_crop,1726,North Bahr Ghaza,0.17419354838709677,0.1109677419354839,2001-2005,2022-2026,-0.02304147465437788,-0.25271727933724153,0.08819706372886547,-0.06322580645161288
rain_crop,1727,Warab,0.1941176470588235,0.08104575163398693,2001-2005,2022-2026,-0.045248868778280535,-0.3375982860438217,0.020003284813892977,-0.11307189542483657
rain_crop,1728,West Bahr Ghazal,0.1357142857142857,0.06666666666666667,2001-2005,2022-2026,-0.03571428571428571,-0.27928963291774833,0.0567867335916123,-0.06904761904761904
rain_crop,1729,W.Equatoria,0.14545454545454545,0.15650623885918005,2001-2005,2022-2026,-0.0,-0.026425532793402037,0.8572487393418212,0.011051693404634605
rain_crop,2242,Upper Nile,0.14545454545454545,0.1019607843137255,2001-2005,2022-2026,-0.025252525252525256,-0.30159597934282084,0.042308078361719105,-0.043493761140819945
sm_crop,0,National (mean of units),0.0642823956562097,0.2828278599985631,2001-2005,2022-2026,0.06827518886342421,0.4707692307692308,0.0005393251158499312,0.2185454643423534
sm_crop,558,Jonglei,0.0967741935483871,0.32211981566820275,2001-2005,2022-2026,0.05865102639296188,0.23778360509035873,0.09921807325811083,0.22534562211981565
sm_crop,599,El Buheyrat,0.02142857142857143,0.3233766233766234,2001-2005,2022-2026,0.12755102040816324,0.42893221658191033,0.003242531349006336,0.30194805194805197
sm_crop,622,Unity,0.08666666666666667,0.24615384615384617,2001-2005,2022-2026,0.06666666666666667,0.22776189843157396,0.11401955465232533,0.1594871794871795
sm_crop,623,C. Equatoria,0.047058823529411764,0.2882352941176471,2001-2005,2022-2026,0.09803921568627452,0.38689552813149664,0.007447227229062702,0.24117647058823533
sm_crop,1721,East Equatoria,0.1,0.2076023391812866,2001-2005,2022-2026,0.058479532163742694,0.26997734714182076,0.05924021538993739,0.10760233918128659
sm_crop,1726,North Bahr Ghaza,0.03225806451612903,0.2700460829493087,2001-2005,2022-2026,0.11019835704267683,0.4498608744952733,0.0018141704515485949,0.23778801843317968
sm_crop,1727,Warab,0.023529411764705882,0.32941176470588235,2001-2005,2022-2026,0.14705882352941177,0.5141267137088839,0.0003643250818843093,0.3058823529411765
sm_crop,1728,West Bahr Ghazal,0.03571428571428571,0.3162337662337662,2001-2005,2022-2026,0.05952380952380952,0.38704130046095436,0.008154024016418439,0.2805194805194805
sm_crop,1729,W.Equatoria,0.12666666666666665,0.18153846153846154,2001-2005,2022-2026,0.02777777777777777,0.16470905960363866,0.25558233685520737,0.05487179487179489
sm_crop,2242,Upper Nile,0.07272727272727272,0.34356060606060607,2001-2005,2022-2026,0.10101010101010102,0.3881337054152244,0.006746496284602154,0.27083333333333337
