indicator,asap1_id,adm1_name,early_frac_below,late_frac_below,early_period,late_period,trend_slope_per_decade,trend_tau,trend_p_value,change_frac_below
spi3_crop,0,National (mean of units),0.20278626536062902,0.09896888160314025,2001-2005,2022-2026,-0.05501012806106702,-0.2430769230769231,0.08558212104491403,-0.10381738375748877
spi3_crop,558,Jonglei,0.12903225806451615,0.0064516129032258064,2001-2005,2022-2026,-0.04608294930875576,-0.370837782806748,0.013806016560226076,-0.12258064516129034
spi3_crop,599,El Buheyrat,0.26428571428571423,0.16904761904761906,2001-2005,2022-2026,-0.0,-0.1972629369169164,0.18200808767538834,-0.09523809523809518
spi3_crop,622,Unity,0.2357142857142857,0.05714285714285714,2001-2005,2022-2026,-0.07142857142857142,-0.4147340517662789,0.004672529519615441,-0.17857142857142858
spi3_crop,623,C. Equatoria,0.12352941176470589,0.20980392156862746,2001-2005,2022-2026,-0.0,-0.0158292061860056,0.9116873452991553,0.08627450980392157
spi3_crop,1721,East Equatoria,0.08333333333333333,0.05,2001-2005,2022-2026,-0.0,-0.1197673450241968,0.4170770595205646,-0.033333333333333326
spi3_crop,1726,North Bahr Ghaza,0.3448275862068965,0.10503978779840847,2001-2005,2022-2026,-0.08620689655172414,-0.38044726932930506,0.00840165772210446,-0.23978779840848805
spi3_crop,1727,Warab,0.3870967741935484,0.06875,2001-2005,2022-2026,-0.08064516129032258,-0.4202511209428349,0.004081231373928497,-0.3183467741935484
spi3_crop,1728,West Bahr Ghazal,0.16428571428571426,0.05714285714285714,2001-2005,2022-2026,-0.02976190476190476,-0.22996806220910798,0.11976150068056801,-0.10714285714285712
spi3_crop,1729,W.Equatoria,0.10909090909090909,0.19964349376114082,2001-2005,2022-2026,-0.0,0.031919409470851846,0.8241551313236167,0.09055258467023174
spi3_crop,2242,Upper Nile,0.18666666666666668,0.06666666666666667,2001-2005,2022-2026,-0.047619047619047616,-0.3686524904589146,0.011921001496914019,-0.12000000000000001
spi3_range,0,National (mean of units),0.1949786945081063,0.08440941033510693,2001-2005,2022-2026,-0.035107376283846865,-0.3046153846153846,0.02973601468370004,-0.11056928417299935
spi3_range,558,Jonglei,0.1,0.005555555555555555,2001-2005,2022-2026,-0.018518518518518517,-0.3193370990239044,0.03485016375929383,-0.09444444444444446
spi3_range,599,El Buheyrat,0.22222222222222224,0.11777777777777776,2001-2005,2022-2026,-0.046296296296296294,-0.24443617833896883,0.09445669034693482,-0.10444444444444448
spi3_range,622,Unity,0.2121212121212121,0.04242424242424243,2001-2005,2022-2026,-0.05050505050505051,-0.35930203507259034,0.01454030133093756,-0.16969696969696968
spi3_range,623,C. Equatoria,0.10857142857142857,0.12872180451127818,2001-2005,2022-2026,-0.0,-0.028968272975116057,0.8410150808122601,0.020150375939849613
spi3_range,1721,East Equatoria,0.07777777777777778,0.0611111111111111,2001-2005,2022-2026,-0.0,-0.09248936477690713,0.5295296331017203,-0.016666666666666677
spi3_range,1726,North Bahr Ghaza,0.32941176470588235,0.10522875816993464,2001-2005,2022-2026,-0.055147058823529424,-0.39334378693368827,0.006495497521388258,-0.2241830065359477
spi3_range,1727,Warab,0.32777777777777783,0.06999999999999999,2001-2005,2022-2026,-0.046296296296296294,-0.30942948523830377,0.035956459753943924,-0.25777777777777783
spi3_range,1728,West Bahr Ghazal,0.2166666666666667,0.08777777777777776,2001-2005,2022-2026,-0.02525252525252525,-0.21638249006752533,0.13515928244685863,-0.12888888888888894
spi3_range,1729,W.Equatoria,0.18857142857142856,0.18105263157894738,2001-2005,2022-2026,-0.0,-0.025706335685444188,0.8585862013366392,-0.007518796992481175
spi3_range,2242,Upper Nile,0.16666666666666666,0.04444444444444444,2001-2005,2022-2026,-0.06038647342995169,-0.4172915691829887,0.00437798830654824,-0.12222222222222222
temp_crop,0,National (mean of units),0.10326548762222387,0.05705829232963957,2001-2005,2022-2026,-0.03016456582633052,-0.316923076923077,0.02347590883972108,-0.046207195292584304
temp_crop,558,Jonglei,0.0967741935483871,0.058924731182795696,2001-2005,2022-2026,-0.01697792869269949,-0.1973531143616734,0.18312209269406088,-0.0378494623655914
temp_crop,599,El Buheyrat,0.06428571428571428,0.03571428571428571,2001-2005,2022-2026,-0.021008403361344536,-0.31412308176123077,0.03896434094249893,-0.028571428571428567
temp_crop,622,Unity,0.05333333333333333,0.04,2001-2005,2022-2026,-0.0,-0.1314129852553656,0.37815817961676357,-0.013333333333333329
temp_crop,623,C. Equatoria,0.1647058823529412,0.0738562091503268,2001-2005,2022-2026,-0.07352941176470587,-0.40233712465438964,0.005388849462558892,-0.0908496732026144
temp_crop,1721,East Equatoria,0.1388888888888889,0.08,2001-2005,2022-2026,-0.03703703703703704,-0.23743809279008402,0.096344664561235,-0.05888888888888889
temp_crop,1726,North Bahr Ghaza,0.09032258064516129,0.05849462365591398,2001-2005,2022-2026,-0.020161290322580645,-0.2114042623472163,0.15137982069432193,-0.03182795698924731
temp_crop,1727,Warab,0.08235294117647059,0.08627450980392157,2001-2005,2022-2026,-0.0,-0.12198134656290549,0.41349451045940067,0.00392156862745098
temp_crop,1728,West Bahr Ghazal,0.05714285714285714,0.03571428571428571,2001-2005,2022-2026,-0.018796992481203006,-0.2203675858870787,0.13661606563262343,-0.02142857142857143
temp_crop,1729,W.Equatoria,0.19393939393939394,0.06559714795008913,2001-2005,2022-2026,-0.05050505050505051,-0.4121688008730837,0.005014557476633153,-0.12834224598930483
temp_crop,2242,Upper Nile,0.09090909090909091,0.03600713012477719,2001-2005,2022-2026,-0.04329004329004329,-0.39078031788314277,0.006970878056210713,-0.054901960784313725
wsi_crop,0,National (mean of units),0.2021233779924482,0.17225980323703285,2001-2005,2022-2026,-0.028229731123469264,-0.14461538461538462,0.313954327988493,-0.029863574755415345
wsi_crop,558,Jonglei,0.2193548387096774,0.12989247311827956,2001-2005,2022-2026,-0.03795066413662239,-0.2099233112595395,0.14646999580679212,-0.08946236559139784
wsi_crop,599,El Buheyrat,0.2,0.23095238095238094,2001-2005,2022-2026,-0.0,-0.06599968005772812,0.6578963200896799,0.030952380952380926
wsi_crop,622,Unity,0.26,0.19333333333333333,2001-2005,2022-2026,-0.0,-0.09365809271579455,0.5175588362773866,-0.06666666666666668
wsi_crop,623,C. Equatoria,0.041176470588235294,0.23529411764705882,2001-2005,2022-2026,-0.0,0.022920042107430323,0.8750083721447066,0.19411764705882353
wsi_crop,1721,East Equatoria,0.22222222222222224,0.03888888888888888,2001-2005,2022-2026,-0.05555555555555555,-0.3176062977743916,0.029631962345466976,-0.18333333333333335
wsi_crop,1726,North Bahr Ghaza,0.22580645161290325,0.1875268817204301,2001-2005,2022-2026,-0.0,-0.10958980590507793,0.4566836149007246,-0.038279569892473136
wsi_crop,1727,Warab,0.31176470588235294,0.07647058823529411,2001-2005,2022-2026,-0.022624434389140267,-0.2770546630920248,0.0633393111312928,-0.23529411764705882
wsi_crop,1728,West Bahr Ghazal,0.25,0.16428571428571428,2001-2005,2022-2026,-0.027472527472527472,-0.1922681277982208,0.1909194118150932,-0.08571428571428572
wsi_crop,1729,W.Equatoria,0.07272727272727272,0.2787878787878788,2001-2005,2022-2026,-0.0,-0.013813650314199412,0.9264188361836828,0.20606060606060608
wsi_crop,2242,Upper Nile,0.21818181818181817,0.18716577540106955,2001-2005,2022-2026,-0.013175230566534916,-0.15248851515031306,0.29911738523185205,-0.031016042780748626
wsi_range,0,National (mean of units),0.21184992784992782,0.19834404192298927,2001-2005,2022-2026,-0.025407132549989702,-0.12615384615384617,0.3816539232629054,-0.013505885926938549
wsi_range,558,Jonglei,0.2166666666666667,0.09444444444444444,2001-2005,2022-2026,-0.046296296296296294,-0.28176093591412305,0.05778320363470351,-0.12222222222222226
wsi_range,599,El Buheyrat,0.2944444444444444,0.1988888888888889,2001-2005,2022-2026,-0.06944444444444445,-0.23939571579057164,0.09804330392517407,-0.0955555555555555
wsi_range,622,Unity,0.28484848484848485,0.22424242424242427,2001-2005,2022-2026,-0.04329004329004329,-0.15372302765288365,0.2853677900031546,-0.06060606060606058
wsi_range,623,C. Equatoria,0.06857142857142857,0.12390977443609023,2001-2005,2022-2026,-0.0,0.006653741390233154,0.9638937947911175,0.05533834586466166
wsi_range,1721,East Equatoria,0.1611111111111111,0.12555555555555556,2001-2005,2022-2026,-0.024154589371980676,-0.1281025230440697,0.3733932844343545,-0.035555555555555535
wsi_range,1726,North Bahr Ghaza,0.17222222222222222,0.2577777777777778,2001-2005,2022-2026,-0.0,-0.06492274731611956,0.6536938741427883,0.08555555555555555
wsi_range,1727,Warab,0.2666666666666667,0.22666666666666666,2001-2005,2022-2026,-0.01984126984126984,-0.1503557036059411,0.301811250344467,-0.04000000000000006
wsi_range,1728,West Bahr Ghazal,0.18888888888888888,0.2711111111111111,2001-2005,2022-2026,-0.0,-0.03540566696958629,0.8063861236417861,0.0822222222222222
wsi_range,1729,W.Equatoria,0.14285714285714285,0.3019548872180451,2001-2005,2022-2026,-0.0,0.08423909311241383,0.5697453701738857,0.15909774436090224
wsi_range,2242,Upper Nile,0.32222222222222224,0.15888888888888889,2001-2005,2022-2026,-0.06944444444444445,-0.21705198440179255,0.13104520735629177,-0.16333333333333336
zfpar_crop,0,National (mean of units),0.08133643017324231,0.04017052334130133,2001-2005,2022-2026,-0.011028303897573845,-0.2123076923076923,0.13492500286485662,-0.041165906831940983
zfpar_crop,558,Jonglei,0.03870967741935484,0.026666666666666665,2001-2005,2022-2026,-0.0,-0.16720771500866805,0.28397604099229456,-0.012043010752688176
zfpar_crop,599,El Buheyrat,0.007142857142857143,0.12142857142857144,2001-2005,2022-2026,-0.0,0.20013731549849734,0.19194725805167734,0.1142857142857143
zfpar_crop,622,Unity,0.07333333333333333,0.10761904761904761,2001-2005,2022-2026,-0.0,0.22424384395765962,0.1453480008389028,0.03428571428571428
zfpar_crop,623,C. Equatoria,0.047058823529411764,0.0,2001-2005,2022-2026,-0.0,-0.25012817227194256,0.11043058869175622,-0.047058823529411764
zfpar_crop,1721,East Equatoria,0.05,0.0,2001-2005,2022-2026,-0.0,-0.20754980866510833,0.17583380606365828,-0.05
zfpar_crop,1726,North Bahr Ghaza,0.11612903225806451,0.01935483870967742,2001-2005,2022-2026,-0.0,-0.2951848655219639,0.05340970528469088,-0.0967741935483871
zfpar_crop,1727,Warab,0.10588235294117647,0.03529411764705882,2001-2005,2022-2026,-0.0,-0.05633905456098736,0.7209871816766955,-0.07058823529411765
zfpar_crop,1728,West Bahr Ghazal,0.03571428571428571,0.04285714285714286,2001-2005,2022-2026,-0.0,-0.01119395192475383,0.9421041100218941,0.007142857142857145
zfpar_crop,1729,W.Equatoria,0.18181818181818182,0.048484848484848485,2001-2005,2022-2026,-0.0,-0.40193636272882904,0.008913397888377417,-0.13333333333333333
zfpar_crop,2242,Upper Nile,0.15757575757575756,0.0,2001-2005,2022-2026,-0.03367003367003367,-0.5485963087868108,0.00037575770942219997,-0.15757575757575756
zfparc_crop,0,National (mean of units),0.08523804047523212,0.06940140357218155,2001-2005,2022-2026,-0.0030529243052962187,-0.030816677568068288,0.8255058589020614,-0.015836636903050566
zfparc_crop,558,Jonglei,0.09032258064516129,0.0,2001-2005,2022-2026,-0.0,-0.3530352961058864,0.025776908651089694,-0.09032258064516129
zfparc_crop,599,El Buheyrat,0.016233766233766232,0.28095238095238095,2001-2005,2022-2026,-0.0,0.17433873995086344,0.26379798735450566,0.26471861471861474
zfparc_crop,622,Unity,0.07575757575757576,0.23619047619047615,2001-2005,2022-2026,-0.0,0.089988730850375,0.5603895896718312,0.16043290043290037
zfparc_crop,623,C. Equatoria,0.0058823529411764705,0.0,2001-2005,2022-2026,-0.0,-0.06349021776571558,0.6950403699619001,-0.0058823529411764705
zfparc_crop,1721,East Equatoria,0.02777777777777778,0.005555555555555555,2001-2005,2022-2026,-0.0,-0.06461263300474938,0.6746736296743185,-0.022222222222222227
zfparc_crop,1726,North Bahr Ghaza,0.1032258064516129,0.01935483870967742,2001-2005,2022-2026,-0.0,-0.18481177545369537,0.23370867153313735,-0.08387096774193548
zfparc_crop,1727,Warab,0.07647058823529411,0.03529411764705882,2001-2005,2022-2026,-0.0,0.0,1.0,-0.04117647058823529
zfparc_crop,1728,West Bahr Ghazal,0.014285714285714285,0.05,2001-2005,2022-2026,-0.0,0.178649196597542,0.25318638740328836,0.03571428571428572
zfparc_crop,1729,W.Equatoria,0.2545454545454545,0.06666666666666667,2001-2005,2022-2026,-0.0,-0.3217555395310777,0.03954129051471924,-0.18787878787878787
zfparc_crop,2242,Upper Nile,0.1878787878787879,0.0,2001-2005,2022-2026,-0.023310023310023312,-0.4906533814626582,0.0013510275825819804,-0.1878787878787879
zfparc_range,0,National (mean of units),0.1546796536796537,0.010469824293353705,2001-2005,2022-2026,-0.027777777777777776,-0.30609117891294196,0.03145172035380444,-0.1442098293863
zfparc_range,558,Jonglei,0.16666666666666666,0.05222222222222221,2001-2005,2022-2026,-0.0,-0.17698086382695685,0.24681779312401098,-0.11444444444444445
zfparc_range,599,El Buheyrat,0.06666666666666667,0.0,2001-2005,2022-2026,-0.0,-0.2969480386394594,0.060823258142456774,-0.06666666666666667
zfparc_range,622,Unity,0.15757575757575756,0.035650623885918005,2001-2005,2022-2026,-0.0,-0.11500511644386245,0.47076978234786393,-0.12192513368983957
zfparc_range,623,C. Equatoria,0.16571428571428573,0.0,2001-2005,2022-2026,-0.0,-0.1350763267011941,0.40155058540599664,-0.16571428571428573
zfparc_range,1721,East Equatoria,0.0611111111111111,0.0,2001-2005,2022-2026,-0.0,-0.30594646405277637,0.053410186591290994,-0.0611111111111111
zfparc_range,1726,North Bahr Ghaza,0.1,0.01111111111111111,2001-2005,2022-2026,-0.0,-0.25677629550654774,0.10331810978641891,-0.08888888888888889
zfparc_range,1727,Warab,0.09444444444444446,0.0,2001-2005,2022-2026,-0.0,-0.4438525973846815,0.005323770171982879,-0.09444444444444446
zfparc_range,1728,West Bahr Ghazal,0.2863636363636364,0.0,2001-2005,2022-2026,-0.0,-0.5049933811628773,0.0013569605594303113,-0.2863636363636364
zfparc_range,1729,W.Equatoria,0.13714285714285715,0.005714285714285714,2001-2005,2022-2026,-0.0,-0.21084271348041447,0.18608500344656997,-0.13142857142857142
zfparc_range,2242,Upper Nile,0.3111111111111111,0.0,2001-2005,2022-2026,-0.0,-0.5675009699842729,0.00030775806722927753,-0.3111111111111111
